刊物简称,Journal,年份,出版社,网址,领域,CCF推荐类别（国际学术刊物/会议）,CCF推荐类型,合并/更名为
TOPLAS,ACM Transactions on Programming Languages and Systems,2019,ACM,http://dblp.uni-trier.de/db/journals/toplas/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,A类,
TOSEM,ACM Transactions on Software Engineering and Methodology,2019,ACM,http://dblp.uni-trier.de/db/journals/tosem/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,A类,
TSE,IEEE Transactions on Software Engineering,2019,IEEE,http://dblp.uni-trier.de/db/journals/tse/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,A类,
ASE,Automated Software Engineering,2019,Springer,http://dblp.uni-trier.de/db/journals/ase/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
ESE,Empirical Software Engineering,2019,Springer,http://dblp.uni-trier.de/db/journals/ese/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
TSC,IEEE Transactions on Services Computing,2019,IEEE,http://dblp.uni-trier.de/db/journals/tsc/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
IETS,IET Software,2019,IET,http://dblp.uni-trier.de/db/journals/iee/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
IST,Information and Software Technology,2019,Elsevier,http://dblp.uni-trier.de/db/journals/infsof/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
JFP,Journal of Functional Programming,2019,Cambridge University Press,http://dblp.uni-trier.de/db/journals/jfp/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
,Journal of Software-Evolution and Process,2019,Wiley,http://dblp.uni-trier.de/db/journals/smr/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
JSS,Journal of Systems and Software,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jss/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
RE,Requirements Engineering,2019,Springer,http://dblp.uni-trier.de/db/journals/re/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
SCP,Science of Computer Programming,2019,Elsevier,http://dblp.uni-trier.de/db/journals/scp/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
SoSyM,Software and Systems Modeling,2019,Springer,http://dblp.uni-trier.de/db/journals/sosym/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
STVR,Software Testing Verification & Reliability,2019,Wiley,http://dblp.uni-trier.de/db/journals/stvr/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
SPE,Software-Practice & Experience,2019,Wiley,http://dblp.uni-trier.de/db/journals/spe/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,B类,
CL,"Computer Languages, Systems and Structures",2019,Elsevier,http://dblp.uni-trier.de/db/journals/cl/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,Journal of Computer Languages
IJSEKE,International Journal of Software Engineering and Knowledge Engineering,2019,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
STTT,International Journal on Software Tools for Technology Transfer,2019,Springer,http://dblp.uni-trier.de/db/journals/sttt/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
JLAP,Journal of Logic and Algebraic Programming,2019,Elsevier,http://dblp.uni-trier.de/db/journals/jlp/jlap.html,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,Journal of Logical and Algebraic Methods in Programming
JWE,Journal of Web Engineering,2019,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
SOCA,Service Oriented Computing and Applications,2019,Springer,http://dblp.uni-trier.de/db/journals/soca/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
SQJ,Software Quality Journal,2019,Springer,http://dblp.uni-trier.de/db/journals/sqj/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
TPLP,Theory and Practice of Logic Programming,2019,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/,软件工程/系统软件/程序设计语言,推荐国际学术刊物,C类,
PLDI,ACM SIGPLAN Symposium on Programming Language Design & Implementation,2019,ACM,http://dblp.uni-trier.de/db/conf/pldi/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,2019,ACM,http://dblp.uni-trier.de/db/conf/popl/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
FSE/ESEC,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference,2019,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
SOSP,ACM Symposium on Operating Systems Principles,2019,ACM,http://dblp.uni-trier.de/db/conf/sosp/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages,and Applications",2019,ACM,http://dblp.uni-trier.de/db/conf/oopsla/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ASE,International Conference on Automated Software Engineering,2019,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ICSE,International Conference on Software Engineering,2019,ACM/IEEE,http://dblp.uni-trier.de/db/conf/icse/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ISSTA,International Symposium on Software Testing and Analysis,2019,ACM,http://dblp.uni-trier.de/db/conf/issta/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
OSDI,USENIX Symposium on Operating Systems Design and Implementations,2019,USENIX,http://dblp.uni-trier.de/db/conf/osdi/,软件工程/系统软件/程序设计语言,推荐国际学术会议,A类,
ECOOP,European Conference on Object-Oriented Programming,2019,AITO,http://dblp.uni-trier.de/db/conf/ecoop/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
ETAPS,European Joint Conferences on Theory and Practice of Software,2019,Springer,http://dblp.uni-trier.de/db/conf/etaps/,软件工程/系统软件/程序设计语言,推荐国际学术会议,B类,
