Journal,年份,ISSN,Review,Open Access,Web of Science,大类,大类分区,Top,小类1,小类1分区,小类2,小类2分区,小类3,小类3分区,小类4,小类4分区,小类5,小类5分区,小类6,小类6分区
CA-A CANCER JOURNAL FOR CLINICIANS,2021,0007-9235,否,否,SCIE,医学,1,是, ONCOLOGY 肿瘤学,1
NATURE REVIEWS MOLECULAR CELL BIOLOGY,2021,1471-0072,是,否,SCIE,生物学,1,是, CELL BIOLOGY 细胞生物学,1
NEW ENGLAND JOURNAL OF MEDICINE,2021,0028-4793,否,否,SCIE,医学,1,是," MEDICINE, GENERAL & INTERNAL 医学：内科",1
NATURE REVIEWS DRUG DISCOVERY,2021,1474-1776,是,否,SCIE,医学,1,是, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,1, PHARMACOLOGY & PHARMACY 药学,1
LANCET,2021,0140-6736,否,否,SCIE,医学,1,是," MEDICINE, GENERAL & INTERNAL 医学：内科",1
Nature Reviews Clinical Oncology,2021,1759-4774,是,否,SCIE,医学,1,是, ONCOLOGY 肿瘤学,1
Nature Reviews Materials,2021,2058-8437,是,否,SCIE,材料科学,1,是," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",1, NANOSCIENCE & NANOTECHNOLOGY 纳米科技,1
Nature Energy,2021,2058-7546,否,否,SCIE,材料科学,1,是, ENERGY & FUELS 能源与燃料,1," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",1
NATURE REVIEWS CANCER,2021,1474-175X,是,否,SCIE,医学,1,是, ONCOLOGY 肿瘤学,1
NATURE REVIEWS MICROBIOLOGY,2021,1740-1526,是,否,SCIE,生物学,1,是, MICROBIOLOGY 微生物学,1
CHEMICAL REVIEWS,2021,0009-2665,是,否,SCIE,化学,1,是," CHEMISTRY, MULTIDISCIPLINARY 化学综合",1
MMWR Surveillance Summaries,2021,1545-8636,否,否,SCIE,医学,1,是," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生",1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2021,0098-7484,否,否,SCIE,医学,1,是," MEDICINE, GENERAL & INTERNAL 医学：内科",1
MMWR Recommendations and Reports,2021,1057-5987,是,否,SCIE,医学,1,是," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生",1
NATURE BIOTECHNOLOGY,2021,1087-0156,否,否,SCIE,工程技术,1,是, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,1
CHEMICAL SOCIETY REVIEWS,2021,0306-0012,是,否,SCIE,化学,1,是," CHEMISTRY, MULTIDISCIPLINARY 化学综合",1
REVIEWS OF MODERN PHYSICS,2021,0034-6861,是,否,SCIE,物理与天体物理,1,是," PHYSICS, MULTIDISCIPLINARY 物理：综合",1
NATURE MEDICINE,2021,1078-8956,否,否,SCIE,医学,1,是, BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学,1, CELL BIOLOGY 细胞生物学,1," MEDICINE, RESEARCH & EXPERIMENTAL 医学：研究与实验",1
NATURE REVIEWS GENETICS,2021,1471-0056,是,否,SCIE,生物学,1,是, GENETICS & HEREDITY 遗传学,1
NATURE REVIEWS IMMUNOLOGY,2021,1474-1733,是,否,SCIE,医学,1,是, IMMUNOLOGY 免疫学,1
Nature Reviews Disease Primers,2021,2056-676X,是,否,SCIE,医学,1,是," MEDICINE, GENERAL & INTERNAL 医学：内科",1
NATURE,2021,0028-0836,否,否,SCIE,综合性期刊,1,是, MULTIDISCIPLINARY SCIENCES 综合性期刊,1
World Psychiatry,2021,1723-8617,否,否,SSCI;SCIE,医学,1,是, PSYCHIATRY 精神病学,1
SCIENCE,2021,0036-8075,否,否,SCIE,综合性期刊,1,是, MULTIDISCIPLINARY SCIENCES 综合性期刊,1
Nature Reviews Gastroenterology & Hepatology,2021,1759-5045,是,否,SCIE,医学,1,是, GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学,1
JOURNAL OF CLINICAL ONCOLOGY,2021,0732-183X,否,否,SCIE,医学,1,是, ONCOLOGY 肿瘤学,1
LANCET NEUROLOGY,2021,1474-4422,否,否,SCIE,医学,1,是, CLINICAL NEUROLOGY 临床神经病学,1
NATURE MATERIALS,2021,1476-1122,否,否,SCIE,材料科学,1,是," CHEMISTRY, PHYSICAL 物理化学",1," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",1," PHYSICS, APPLIED 物理：应用",1," PHYSICS, CONDENSED MATTER 物理：凝聚态物理",1
Nature Reviews Endocrinology,2021,1759-5029,是,否,SCIE,医学,1,是, ENDOCRINOLOGY & METABOLISM 内分泌学与代谢,1
Nature Reviews Neurology,2021,1759-4758,是,否,SCIE,医学,1,是, CLINICAL NEUROLOGY 临床神经病学,1
