Journal,年份,ISSN/EISSN,Review,OA Journal Index（OAJ）,Open Access,Web of Science,标注,大类,大类分区,Top,小类1,小类1分区,小类2,小类2分区,小类3,小类3分区,小类4,小类4分区,小类5,小类5分区,小类6,小类6分区
20 Et 21-Revue D Histoire,2025,2649-664X/2649-6100,否,否,否,AHCI,,历史学,4 [625/778],否, HISTORY 历史学,4 [405/523],,,,,,,,,,
2D Materials,2025,2053-1583/2053-1583,否,否,否,SCIE,,材料科学,3 [168/495],否," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",3 [168/436],,,,,,,,,,
3 Biotech,2025,2190-572X/2190-5738,否,否,否,SCIE,,生物学,4 [629/1091],否, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,4 [107/174],,,,,,,,,,
3C Empresa,2025,2254-3376/2254-3376,否,否,是,ESCI,,管理学,4 [822/1025],否, BUSINESS 商业：管理,4 [253/302],,,,,,,,,,
3c Tecnologia,2025,2254-4143/2254-4143,否,否,是,ESCI,,工程技术,4 [1112/1437],否," ENGINEERING, MULTIDISCIPLINARY 工程：综合",4 [114/179],,,,,,,,,,
3C Tic,2025,2254-6529/2254-6529,否,否,是,ESCI,,计算机科学,4 [559/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",4 [118/143],,,,,,,,,,
3D Printing and Additive Manufacturing,2025,2329-7662/2329-7670,否,否,否,SCIE,,工程技术,4 [899/1437],否," ENGINEERING, MANUFACTURING 工程：制造",4 [60/70]," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",4 [324/436],,,,,,,,
3D Printing in Medicine,2025,2365-6271/2365-6271,否,否,是,ESCI,,医学,3 [1379/5603],否," RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学",3 [56/206],,,,,,,,,,
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,2025,0128-5157/2550-2247,否,否,是,ESCI,,文学,3 [412/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [176/391],,,,,,,,,,
452 F-Revista de Teoria de la Literatura y Literatura Comparada,2025,2013-3294/2013-3294,否,否,是,ESCI,,文学,4 [750/1193],否, LITERATURE 其他形式的文学,4 [134/199],,,,,,,,,,
