Journal,预警等级（2021）
Complexity,中
Shock and Vibration,中
Advances in Civil Engineering,中
Biomedicines,低
Microprocessors and Microsystems,高
Scientific Programming,低
BioFactors,高
Mitochondrial DNA Part B-Resources,中
Frontiers in Molecular Biosciences,低
Frontiers in Cell and Developmental Biology,低
Life-Basel,低
Biology-Basel,低
Discrete Dynamics in Nature and Society,中
AIMS Mathematics,低
Journal of Mathematics,低
Pharmazie,高
Molecular Therapy-Nucleic Acids,高
Experimental and Molecular Pathology,高
Journal of Cellular and Molecular Medicine,中
Molecular Medicine Reports,中
Journal of International Medical Research,中
Journal of Cancer,中
Medical Science Monitor,中
Aging-US,中
OncoTargets and Therapy,中
Cancer Management and Research,中
Cancer Cell International,中
World Journal of Clinical Cases,中
Annals of Palliative Medicine,低
International Journal of General Medicine,低
Frontiers in Medicine,低
Journal of Personalized Medicine,低
Healthcare,低
Diagnostics,低
Vaccines,低
