Journal,预警原因（2024）
CANCERS,引用操纵
DIAGNOSTICS,引用操纵
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,引用操纵、论文工厂
FUEL,引用操纵
JOURNAL OF CLINICAL MEDICINE,引用操纵
JOURNAL OF PERSONALIZED MEDICINE,引用操纵
RADIOLOGIA MEDICA,引用操纵
BIOENGINEERED,论文工厂
CONNECTION SCIENCE,论文工厂
MULTIMEDIA TOOLS AND APPLICATIONS,论文工厂
PSYCHIATRIA DANUBINA,论文工厂
JOURNAL OF BIOBASED MATERIALS AND BIOENERGY,论文工厂、中国作者占比畸高
JOURNAL OF BIOMATERIALS AND TISSUE ENGINEERING,论文工厂、中国作者占比畸高
JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,论文工厂、中国作者占比畸高
JOURNAL OF NANOELECTRONICS AND OPTOELECTRONICS,论文工厂、中国作者占比畸高
JOURNAL OF SENSORS,论文工厂、中国作者占比畸高
MATERIALS EXPRESS,论文工厂、中国作者占比畸高
SCIENCE OF ADVANCED MATERIALS,论文工厂、中国作者占比畸高
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,中国作者占比畸高
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,中国作者占比畸高
EXPERIMENTAL AND THERAPEUTIC MEDICINE,中国作者占比畸高
FRONTIERS IN ENERGY RESEARCH,中国作者占比畸高
MATHEMATICAL BIOSCIENCES AND ENGINEERING,中国作者占比畸高
TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH,中国作者占比畸高
