期刊缩写,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,JCR分区,2019年文章数,出版国家,出版周期
CA-Cancer J Clin,CA-A CANCER JOURNAL FOR CLINICIANS,39917,292.278,0.09358,Q1,22,美国,双月刊
New Engl J Med,NEW ENGLAND JOURNAL OF MEDICINE,347450,74.699,0.6618,Q1,328,美国,周刊
Nat Rev Mater,Nature Reviews Materials,12657,71.189,0.05288,Q1,44,,
Nat Rev Drug Discov,NATURE REVIEWS DRUG DISCOVERY,33156,64.797,0.04921,Q1,36,英国,月刊
Lancet,LANCET,256200,60.39,0.43787,Q1,275,英国,周刊
Nat Rev Mol Cell Bio,NATURE REVIEWS MOLECULAR CELL BIOLOGY,46309,55.47,0.08233,Q1,44,英国,月刊
Nat Rev Clin Oncol,Nature Reviews Clinical Oncology,12384,53.276,0.03602,Q1,41,英国,月刊
Nat Rev Cancer,NATURE REVIEWS CANCER,52054,53.03,0.06609,Q1,43,英国,月刊
Chem Rev,CHEMICAL REVIEWS,200019,52.76,0.27158,Q1,209,美国,月刊
Nat Energy,Nature Energy,17747,46.495,0.06732,Q1,93,,
JAMA-J Am Med Assoc,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,158632,45.54,0.29049,Q1,200,美国,周刊
Rev Mod Phys,REVIEWS OF MODERN PHYSICS,51123,45.049,0.0518,Q1,38,美国,季刊
Chem Soc Rev,CHEMICAL SOCIETY REVIEWS,150706,42.846,0.22961,Q1,183,英国,月刊
Nature,NATURE,767246,42.779,1.21714,Q1,903,英国,周刊
Science,SCIENCE,699875,41.846,1.0231,Q1,774,美国,周刊
Nat Rev Dis Primers,Nature Reviews Disease Primers,7567,40.689,0.03235,Q1,39,,
World Psychiatry,World Psychiatry,6486,40.595,0.01715,Q1,21,,
Nat Rev Immunol,NATURE REVIEWS IMMUNOLOGY,42168,40.358,0.06844,Q1,52,英国,月刊
Nat Mater,NATURE MATERIALS,99502,38.663,0.15859,Q1,162,英国,月刊
Cell,CELL,258182,38.637,0.5651,Q1,432,美国,双周刊
Nat Biotechnol,NATURE BIOTECHNOLOGY,63979,36.553,0.15674,Q1,123,美国,月刊
Nat Med,NATURE MEDICINE,85221,36.13,0.16887,Q1,201,美国,月刊
Living Rev Relativ,Living Reviews in Relativity,3074,35.429,0.00508,Q1,6,美国,不定期
Nat Rev Chem,Nature Reviews Chemistry,3209,34.953,0.014,Q1,43,,
Nat Rev Microbiol,NATURE REVIEWS MICROBIOLOGY,32030,34.209,0.05221,Q1,53,英国,月刊
Lancet Oncol,LANCET ONCOLOGY,53592,33.752,0.14364,Q1,167,美国,月刊
Nat Rev Neurosci,NATURE REVIEWS NEUROSCIENCE,42808,33.654,0.05546,Q1,50,英国,
Nat Rev Genet,NATURE REVIEWS GENETICS,37394,33.133,0.07033,Q1,45,英国,月刊
Annu Rev Astron Astr,Annual Review of Astronomy and Astrophysics,12448,33,0.01572,Q1,15,美国,年刊
J Clin Oncol,JOURNAL OF CLINICAL ONCOLOGY,155297,32.956,0.26233,Q1,285,美国,双周刊
Prog Mater Sci,PROGRESS IN MATERIALS SCIENCE,17409,31.56,0.02095,Q1,54,英国,双月刊
Nat Nanotechnol,Nature Nanotechnology,65923,31.538,0.1409,Q1,141,英国,月刊
Nat Photonics,Nature Photonics,45057,31.241,0.10034,Q1,115,英国,月刊
Nat Methods,NATURE METHODS,72486,30.822,0.20576,Q1,155,,
Nat Catal,Nature Catalysis,3787,30.471,0.01408,Q1,112,,
BMJ-Brit Med J,BMJ-British Medical Journal,118585,30.313,0.14537,Q1,179,,
Energ Environ Sci,Energy & Environmental Science,86899,30.289,0.15911,Q1,268,英国,月刊
Lancet Neurol,LANCET NEUROLOGY,33050,30.039,0.06248,Q1,78,英国,月刊
Nat Rev Gastro Hepat,Nature Reviews Gastroenterology & Hepatology,10284,29.869,0.0245,Q1,43,美国,月刊
Cancer Discov,Cancer Discovery,18093,29.497,0.06935,Q1,92,美国,
Joule,Joule,7755,29.155,0.02351,Q1,183,,
Prog Energ Combust,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,12727,28.938,0.01051,Q1,31,英国,双月刊
Nat Rev Endocrinol,Nature Reviews Endocrinology,10470,28.8,0.02538,Q1,46,英国,月刊
Nat Genet,NATURE GENETICS,97384,27.605,0.20805,Q1,173,美国,月刊
Nat Electron,Nature Electronics,1927,27.5,0.00787,Q1,56,,
Adv Mater,ADVANCED MATERIALS,264939,27.398,0.48537,Q1,1255,美国,双月刊
Nat Rev Neurol,Nature Reviews Neurology,11029,27,0.0288,Q1,47,美国,月刊
