Journal,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"39,917",292.278,0.09358
NEW ENGLAND JOURNAL OF MEDICINE,"347,450",74.699,0.6618
Nature Reviews Materials,"12,657",71.189,0.05288
NATURE REVIEWS DRUG DISCOVERY,"33,156",64.797,0.04921
LANCET,"256,200",60.39,0.43787
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"46,309",55.47,0.08233
Nature Reviews Clinical Oncology,"12,384",53.276,0.03602
NATURE REVIEWS CANCER,"52,054",53.03,0.06609
CHEMICAL REVIEWS,"200,019",52.76,0.27158
Nature Energy,"17,747",46.495,0.06732
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"158,632",45.54,0.29049
REVIEWS OF MODERN PHYSICS,"51,123",45.049,0.0518
CHEMICAL SOCIETY REVIEWS,"150,706",42.846,0.22961
NATURE,"767,246",42.779,1.21714
SCIENCE,"699,875",41.846,1.0231
Nature Reviews Disease Primers,"7,567",40.689,0.03235
World Psychiatry,"6,486",40.595,0.01715
World Psychiatry,"6,486",40.595,0.01715
NATURE REVIEWS IMMUNOLOGY,"42,168",40.358,0.06844
NATURE MATERIALS,"99,502",38.663,0.15859
CELL,"258,182",38.637,0.5651
NATURE BIOTECHNOLOGY,"63,979",36.553,0.15674
NATURE MEDICINE,"85,221",36.13,0.16887
Living Reviews in Relativity,"3,074",35.429,0.00508
Nature Reviews Chemistry,"3,209",34.953,0.014
NATURE REVIEWS MICROBIOLOGY,"32,030",34.209,0.05221
LANCET ONCOLOGY,"53,592",33.752,0.14364
NATURE REVIEWS NEUROSCIENCE,"42,808",33.654,0.05546
NATURE REVIEWS GENETICS,"37,394",33.133,0.07033
Annual Review of Astronomy and Astrophysics,"12,448",33,0.01572
JOURNAL OF CLINICAL ONCOLOGY,"155,297",32.956,0.26233
PROGRESS IN MATERIALS SCIENCE,"17,409",31.56,0.02095
Nature Nanotechnology,"65,923",31.538,0.1409
Nature Photonics,"45,057",31.241,0.10034
NATURE METHODS,"72,486",30.822,0.20576
Nature Catalysis,"3,787",30.471,0.01408
BMJ-British Medical Journal,"118,585",30.313,0.14537
Energy & Environmental Science,"86,899",30.289,0.15911
LANCET NEUROLOGY,"33,050",30.039,0.06248
Nature Reviews Gastroenterology & Hepatology,"10,284",29.869,0.0245
Cancer Discovery,"18,093",29.497,0.06935
Joule,"7,755",29.155,0.02351
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"12,727",28.938,0.01051
Nature Reviews Endocrinology,"10,470",28.8,0.02538
NATURE GENETICS,"97,384",27.605,0.20805
Nature Electronics,"1,927",27.5,0.00787
ADVANCED MATERIALS,"264,939",27.398,0.48537
Nature Reviews Neurology,"11,029",27,0.0288
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,964",26.625,0.00568
CANCER CELL,"41,065",26.602,0.09551
Materials Today,"15,572",26.416,0.02225
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"28,868",25.809,0.03004
Annual Review of Biochemistry,"20,499",25.787,0.0248
PHYSIOLOGICAL REVIEWS,"28,713",25.588,0.02401
Lancet Diabetes & Endocrinology,"9,533",25.34,0.04164
Advanced Energy Materials,"67,558",25.245,0.16921
Lancet Respiratory Medicine,"9,113",25.094,0.0396
JAMA Oncology,"13,794",24.799,0.06471
LANCET INFECTIOUS DISEASES,"25,163",24.446,0.07763
IEEE Communications Surveys and Tutorials,"18,995",23.7,0.04103
CIRCULATION,"158,218",23.603,0.20538
EUROPEAN HEART JOURNAL,"59,968",22.673,0.14083
PROGRESS IN POLYMER SCIENCE,"26,874",22.62,0.01899
CLINICAL MICROBIOLOGY REVIEWS,"19,987",22.556,0.01964
IMMUNITY,"54,819",22.553,0.12409
Nature Chemistry,"35,223",21.687,0.08288
Lancet Global Health,"9,165",21.597,0.04486
Lancet Global Health,"9,165",21.597,0.04486
Cell Metabolism,"39,581",21.567,0.09744
REVIEWS OF GEOPHYSICS,"12,599",21.449,0.01357
ANNALS OF INTERNAL MEDICINE,"58,033",21.317,0.09135
Nature Climate Change,"27,080",20.893,0.0892
Nature Climate Change,"27,080",20.893,0.0892
Cell Stem Cell,"26,471",20.86,0.07819
PSYCHOLOGICAL BULLETIN,"52,569",20.838,0.02712
PSYCHOLOGICAL BULLETIN,"52,569",20.838,0.02712
ACCOUNTS OF CHEMICAL RESEARCH,"72,742",20.834,0.12217
Nature Reviews Nephrology,"6,911",20.711,0.01964
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"101,927",20.589,0.19351
JOURNAL OF HEPATOLOGY,"42,177",20.582,0.08213
CELL RESEARCH,"16,237",20.507,0.03771
NATURE IMMUNOLOGY,"44,709",20.479,0.08185
Nature Reviews Cardiology,"7,100",20.26,0.02116
NATURE NEUROSCIENCE,"62,932",20.071,0.14458
NATURE CELL BIOLOGY,"41,904",20.042,0.07726
Living Reviews in Solar Physics,"1,424",20,0.00283
Annual Review of Immunology,"17,080",19.9,0.01928
GUT,"46,583",19.819,0.07141
Chem,"7,022",19.735,0.02462
Annual Review of Physiology,"9,466",19.556,0.01019
Annual Review of Plant Biology,"20,410",19.54,0.01511
Nature Physics,"37,113",19.256,0.11534
ACS Energy Letters,"18,351",19.003,0.05978
Nature Biomedical Engineering,"3,143",18.952,0.01421
EUROPEAN UROLOGY,"33,097",18.728,0.06313
Science Robotics,"1,859",18.684,0.00653
JAMA Internal Medicine,"17,260",18.652,0.08631
ANNALS OF ONCOLOGY,"45,813",18.274,0.10722
Psychological Science in the Public Interest,"1,590",18.25,0.00287
Annual Review of Psychology,"21,254",18.111,0.01951
Annual Review of Psychology,"21,254",18.111,0.01951
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"52,888",17.861,0.06559
BLOOD,"165,117",17.794,0.20555
INTENSIVE CARE MEDICINE,"22,617",17.679,0.03751
JAMA Psychiatry,"13,433",17.471,0.05621
JAMA Psychiatry,"13,433",17.471,0.05621
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"61,914",17.452,0.08533
PHARMACOLOGICAL REVIEWS,"12,500",17.395,0.01037
GASTROENTEROLOGY,"75,858",17.373,0.10419
BEHAVIORAL AND BRAIN SCIENCES,"9,392",17.333,0.00813
BEHAVIORAL AND BRAIN SCIENCES,"9,392",17.333,0.00813
Alzheimers & Dementia,"16,289",17.127,0.04223
Applied Physics Reviews,"3,445",17.054,0.01124
REPORTS ON PROGRESS IN PHYSICS,"18,768",17.032,0.03298
Nano Today,"8,882",16.907,0.01326
ADVANCED FUNCTIONAL MATERIALS,"116,431",16.836,0.21448
Wiley Interdisciplinary Reviews-Computational Molecular Science,"5,896",16.778,0.01042
Annual Review of Pathology-Mechanisms of Disease,"5,083",16.75,0.00908
National Science Review,"2,775",16.693,0.00977
APPLIED CATALYSIS B-ENVIRONMENTAL,"97,041",16.683,0.1206
Nature Reviews Rheumatology,"8,803",16.625,0.02081
Nano Energy,"52,300",16.602,0.11587
Annual Review of Public Health,"7,435",16.463,0.01284
Annual Review of Public Health,"7,435",16.463,0.01284
ADVANCES IN PHYSICS,"5,718",16.375,0.00495
Annual Review of Marine Science,"4,445",16.359,0.0091
Annual Review of Fluid Mechanics,"13,312",16.306,0.01073
Science Translational Medicine,"34,479",16.304,0.11615
Lancet Public Health,"1,826",16.292,0.00964
