期刊缩写,Journal,JCR分区,2019年文章数,出版国家,出版周期
J Clin Monit Comput,Journal of Clinical Monitoring and Computing,Q3,117,德国,
Dysphagia,Dysphagia,Q1,81,美国,季刊
Int J Psychol,International Journal of Psychology,Q3,97,,
J Value Inquiry,Journal of Value Inquiry,Q4,27,,
J Eng Technol,Journal of Engineering Technology,Q1,8,,
Neurodegener Dis,Neurodegenerative Diseases,Q3,10,瑞士,双月刊
Microvasc Res,Microvascular Research,Q2,85,美国,双月刊
J Hepatol,Journal of Hepatology,Q1,204,荷兰,月刊
J Clin Neurol,Journal of Clinical Neurology,Q3,63,韩国,季刊
Afr Invertebr,African Invertebrates,Q3/Q4,9,南非,年刊
J Enterp Inf Manag,Journal of Enterprise Information Management,Q2,50,,
J Dent Educ,Journal of Dental Education,Q4,126,美国,月刊
Hist Hum Sci,History of the Human Sciences,Q2/Q3,34,英国,季刊
J Web Semant,Journal of Web Semantics,Q2/Q3,37,荷兰,季刊
Nervenarzt,Nervenarzt,Q4,134,德国,月刊
J Environ Law,Journal of Environmental Law,Q2/Q4,24,,
Int J Am Linguist,International Journal of American Linguistics,Q4,20,,
Curr Allergy Asthm R,Current Allergy and Asthma Reports,Q2,60,美国,双月刊
J Neurol Surg Part A,Journal of Neurological Surgery Part A-Central European Neurosurgery,Q4,77,美国,
Mitochondrion,Mitochondrion,Q2,146,英国,双月刊
J Biomed Sci,Journal of Biomedical Science,Q1,92,中国台湾,双月刊
Eur J Gen Pract,European Journal of General Practice,Q2,29,英国,
J Appl Math Comput,Journal of Applied Mathematics and Computing,Q1/Q2,104,,
J Exp Psychopathol,Journal of Experimental Psychopathology,Q3,31,,
Ann Bot-Coenol Plant,Annali Di Botanica,Q4,9,,
Int Peacekeeping,International Peacekeeping,Q2,26,,
Psychol Health,Psychology & Health,Q1,80,,
Inform Organ-UK,Information and Organization,Q1/Q2,16,,
J Am Coll Nutr,Journal of the American College of Nutrition,Q3,83,美国,双月刊
Drug Chem Toxicol,Drug and Chemical Toxicology,Q3,68,美国,季刊
BMC Med Imaging,BMC Medical Imaging,Q3,100,英国,
Opt Express,Optics Express,Q1,3303,美国,双月刊
J Purch Supply Manag,Journal of Purchasing and Supply Management,Q1,51,,
Clin Med,Clinical Medicine,Q2,87,英国,双月刊
Topol Method Nonl An,Topological Methods in Nonlinear Analysis,Q3,56,波兰,季刊
J Physiother,Journal of Physiotherapy,Q1,24,澳大利亚,
J Log Algebr Methods,Journal of Logical and Algebraic Methods in Programming,Q2/Q4,62,美国,
Ther Adv Psychopharm,Therapeutic Advances in Psychopharmacology,Q2,26,,
Libr Collect Acquis,Library Collections Acquisitions & Technical Services,Q3,0,,
Behav Modif,Behavior Modification,Q2,37,,
Ethnohistory,Ethnohistory,Q2/Q3,30,,
S Afr J Bus Manag,South African Journal of Business Management,Q4,26,,
Sustain Energ Fuels,Sustainable Energy & Fuels,Q1/Q2,320,,
Appl Linguist Rev,Applied Linguistics Review,Q2,32,,
Trends Organ Crime,Trends in Organized Crime,Q3,23,,
J Nutr Educ Behav,Journal of Nutrition Education and Behavior,Q1/Q3,131,美国,双月刊
