Journal,Total Cites,Journal Impact Factor (IF),Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,% Articles in Citable Items
CA-A CANCER JOURNAL FOR CLINICIANS,"55,868",508.702,507.723,332.984,52.212,33,75.76
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"58,477",94.444,93.6,70.362,21.736,53,0
NEW ENGLAND JOURNAL OF MEDICINE,"464,376",91.253,90.595,89.676,162.03,331,87.01
NATURE REVIEWS DRUG DISCOVERY,"41,993",84.694,83.847,80.553,38.667,42,9.52
LANCET,"369,614",79.323,78.111,77.237,259.056,215,73.95
Nature Reviews Clinical Oncology,"17,973",66.675,66.289,52.441,16.444,54,18.52
Nature Reviews Materials,"19,887",66.308,65.89,98.837,16.515,66,1.52
Nature Energy,"28,166",60.858,60.078,68.822,10.377,106,92.45
NATURE REVIEWS CANCER,"62,391",60.716,60.337,68.839,13.212,52,3.85
NATURE REVIEWS MICROBIOLOGY,"43,314",60.633,60.174,56.614,13.176,68,1.47
CHEMICAL REVIEWS,"224,417",60.622,60.042,66.813,15.833,240,0.42
MMWR Surveillance Summaries,"3,806",58.769,58.538,35.086,17.222,9,100
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"224,165",56.274,55.148,60.151,178.704,199,75.38
MMWR Recommendations and Reports,"3,288",55.857,55.429,86.737,7.1,10,100
NATURE BIOTECHNOLOGY,"78,787",54.908,53.724,50.516,14.739,161,98.14
CHEMICAL SOCIETY REVIEWS,"173,170",54.564,54.004,53.712,9.731,290,0
REVIEWS OF MODERN PHYSICS,"58,097",54.494,54.405,53.323,8.313,32,0
NATURE MEDICINE,"114,402",53.44,53.026,49.248,27.828,233,98.71
NATURE REVIEWS GENETICS,"42,803",53.242,52.632,52.016,9.387,62,0
NATURE REVIEWS IMMUNOLOGY,"55,784",53.106,52.731,62.711,43.309,81,23.46
Nature Reviews Disease Primers,"14,221",52.329,52.244,65.357,7.325,40,92.5
NATURE,"915,939",49.962,49.315,54.637,24.651,"1,076",98.23
World Psychiatry,"9,619",49.548,45.5,52.238,16.773,22,95.45
World Psychiatry,"9,619",49.548,45.5,52.238,16.773,22,95.45
SCIENCE,"814,978",47.728,47.239,51.434,23.876,844,93.25
Nature Reviews Gastroenterology & Hepatology,"15,358",46.802,46.176,38.143,10.508,63,28.57
JOURNAL OF CLINICAL ONCOLOGY,"189,444",44.544,43.787,33.883,16.277,339,88.2
LANCET NEUROLOGY,"43,459",44.182,43.623,41.515,19.079,76,65.79
NATURE MATERIALS,"112,429",43.841,43.542,48.386,10.545,209,92.82
Nature Reviews Endocrinology,"15,040",43.33,42.886,36.757,10.483,58,20.69
Nature Reviews Neurology,"15,738",42.937,42.516,35.2,8.6,50,8
Nature Catalysis,"9,725",41.813,41.28,41.822,6.973,111,90.09
CELL,"320,410",41.584,40.976,46.899,29.403,407,90.42
LANCET ONCOLOGY,"72,804",41.316,40.837,44.11,28.465,159,78.62
Joule,"17,275",41.248,40.46,41.247,8.272,147,80.27
Living Reviews in Relativity,"3,407",40.429,40.214,30.308,1,3,0
BMJ-British Medical Journal,"158,758",39.89,38.59,38.658,60.269,216,72.69
PROGRESS IN MATERIALS SCIENCE,"21,332",39.58,39.366,39.026,16.116,43,0
Cancer Discovery,"27,030",39.397,38.848,39.115,14.874,103,87.38
Nature Nanotechnology,"75,845",39.213,38.84,42.237,9.013,158,90.51
Nature Photonics,"52,833",38.771,38.197,39.979,9.5,126,96.03
Energy & Environmental Science,"101,688",38.532,37.651,36.942,6.353,331,78.25
NATURE GENETICS,"113,066",38.33,37.548,36.431,6.279,140,99.29
Psychological Science in the Public Interest,"2,337",37.857,37.714,44,0.667,3,100
PHYSIOLOGICAL REVIEWS,"35,641",37.312,37.226,38.566,9.854,41,0
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"8,652",36.214,36,36.431,8.846,26,0
NATURE REVIEWS NEUROSCIENCE,"49,900",34.87,34.6,43.357,8.49,49,0
Nature Reviews Chemistry,"5,750",34.035,33.872,41.481,7.654,52,0
Nature Electronics,"4,455",33.686,32.805,33.695,5.643,84,92.86
ANNALS OF ONCOLOGY,"61,543",32.976,32.472,22.846,14.626,147,88.44
Nature Reviews Cardiology,"11,541",32.43,31.871,27.004,22.209,67,8.96
Lancet Diabetes & Endocrinology,"14,025",32.069,31.455,29.793,15.621,66,68.18
JAMA Oncology,"22,381",31.777,31.232,29.806,9.483,172,84.88
IMMUNITY,"70,518",31.745,31.033,31.494,12.893,150,82
CANCER CELL,"50,839",31.743,31.308,35.455,7.865,96,80.21
Nature Reviews Physics,"1,697",31.068,30.841,31.068,7.267,45,2.22
Materials Today,"20,082",31.041,30.703,36.768,6.917,133,80.45
ADVANCED MATERIALS,"320,972",30.849,29.561,30.254,6.532,"1,642",84.47
Lancet Respiratory Medicine,"22,278",30.7,30.143,29.048,123.89,82,86.59
Annual Review of Astronomy and Astrophysics,"13,229",30.065,29.742,37.408,4.625,16,0
EUROPEAN HEART JOURNAL,"81,451",29.983,28.341,29.729,28.327,254,83.86
CIRCULATION,"190,221",29.69,28.874,27.474,15.63,324,98.46
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"14,154",29.394,28.894,34.68,7.097,31,0
Advanced Energy Materials,"93,801",29.368,27.89,27.97,5.888,832,76.68
PROGRESS IN POLYMER SCIENCE,"30,309",29.19,28.942,31.436,7.833,54,0
Electrochemical Energy Reviews,"1,341",28.905,28.619,28.905,4.1,30,0
NATURE CELL BIOLOGY,"52,554",28.824,28.612,26.648,5.797,123,97.56
NATURE METHODS,"90,805",28.547,27.919,44.96,13.923,142,96.48
Annual Review of Immunology,"20,292",28.527,28.418,31.154,8.2,30,0
Nature Reviews Nephrology,"10,033",28.314,27.674,26.996,10.661,56,8.93
Molecular Cancer,"24,931",27.401,26.452,20.26,7.014,145,56.55
Cell Metabolism,"52,194",27.287,26.815,30.768,9.53,149,85.91
Lancet Global Health,"16,663",26.763,26.346,27.909,23.027,111,90.09
Lancet Global Health,"16,663",26.763,26.346,27.909,23.027,111,90.09
Lancet Psychiatry,"14,839",26.481,25.867,26.929,66.385,65,56.92
Lancet Psychiatry,"14,839",26.481,25.867,26.929,66.385,65,56.92
Annual Review of Plant Biology,"24,641",26.379,26.172,28.893,5.862,29,0
CLINICAL MICROBIOLOGY REVIEWS,"25,627",26.132,25.971,32.976,9.515,33,0
Journal of Extracellular Vesicles,"8,485",25.841,23.897,26.52,3.569,116,91.38
Nature Biomedical Engineering,"6,476",25.671,25.378,26.355,6.935,108,97.22
CELL RESEARCH,"24,108",25.617,25.352,25.924,30.075,93,86.02
NATURE IMMUNOLOGY,"54,588",25.606,25.13,27.279,6.774,146,92.47
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"32,130",25.6,25.379,27.887,10.423,52,0
PHARMACOLOGICAL REVIEWS,"14,445",25.468,25.362,26.306,5.269,26,0
InfoMat,"1,460",25.405,23.459,25.405,5.943,87,43.68
ANNALS OF INTERNAL MEDICINE,"72,594",25.391,24.736,25.27,40.55,131,75.57
ADVANCES IN PHYSICS,"6,300",25.375,25.25,35.625,1,2,0
ASTRONOMY AND ASTROPHYSICS REVIEW,"2,048",25.357,25.071,17.541,7,7,0
Nature Climate Change,"36,321",25.29,24.624,28.803,6.806,155,93.55
Nature Climate Change,"36,321",25.29,24.624,28.803,6.806,155,93.55
IEEE Communications Surveys and Tutorials,"22,146",25.249,24.359,28.005,6.345,87,100
Wiley Interdisciplinary Reviews-Computational Molecular Science,"7,883",25.113,24.563,16.743,3.458,72,27.78
JOURNAL OF HEPATOLOGY,"52,239",25.083,24.059,20.888,9.903,207,80.68
LANCET INFECTIOUS DISEASES,"42,483",25.071,24.519,24.91,79.385,143,74.83
NATURE NEUROSCIENCE,"73,710",24.884,24.315,25.875,5.737,167,91.02
Cell Stem Cell,"32,147",24.633,23.987,26.3,7.241,116,88.79
Lancet Digital Health,"1,260",24.519,23.926,24.519,12.122,49,87.76
Nature Chemistry,"41,139",24.427,24.235,26.958,6.858,155,96.77
Annual Review of Psychology,"28,065",24.137,24.098,32.504,7.04,25,0
Annual Review of Psychology,"28,065",24.137,24.098,32.504,7.04,25,0
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"125,875",24.093,22.916,22.758,11.176,375,80.53
Trends in Chemistry,"1,919",24.081,23.806,24.081,6.071,70,2.86
Science Robotics,"4,176",23.956,23.123,26.362,5.239,46,97.83
Annual Review of Biochemistry,"24,394",23.643,23.571,32.402,4.969,32,0
BLOOD,"200,028",23.629,22.829,20.107,5.811,503,86.28
Annual Review of Pathology-Mechanisms of Disease,"6,875",23.472,23.417,25.071,10.5,20,0
ACS Energy Letters,"30,194",23.101,21.918,22.423,4.854,425,91.53
GUT,"58,320",23.059,22.398,22.225,16.688,192,98.44
Chem,"12,491",22.804,22.471,23.911,4.949,195,77.95
GASTROENTEROLOGY,"94,872",22.682,21.884,23.937,17.33,276,85.14
ACCOUNTS OF CHEMICAL RESEARCH,"82,124",22.384,22.267,22.732,6.008,245,0
COORDINATION CHEMISTRY REVIEWS,"43,025",22.315,21.45,18.414,6.042,263,0.38
REVIEWS OF GEOPHYSICS,"14,864",22,21.725,25.137,6.36,25,0
Annual Review of Public Health,"9,927",21.981,21.796,22.761,4.621,29,0
Annual Review of Public Health,"9,927",21.981,21.796,22.761,4.621,29,0
JAMA Internal Medicine,"25,005",21.873,21.266,23.067,24.813,155,90.97
Lancet Public Health,"5,793",21.648,21.44,23.241,49.059,51,88.24
Lancet Public Health,"5,793",21.648,21.44,23.241,49.059,51,88.24
JAMA Psychiatry,"19,105",21.596,20.752,23.474,8.113,133,78.95
JAMA Psychiatry,"19,105",21.596,20.752,23.474,8.113,133,78.95
Alzheimers & Dementia,"21,824",21.566,20.819,19.962,3.353,187,96.26
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"76,608",21.405,19.705,19.393,17.187,203,94.58
PROGRESS IN RETINAL AND EYE RESEARCH,"9,869",21.198,20.384,20.218,6.825,40,0
Cell Host & Microbe,"28,716",21.023,20.56,22.103,16.105,143,86.01
TRENDS IN CELL BIOLOGY,"19,007",20.808,20.719,22.369,4.75,72,0
Nano Today,"10,434",20.722,20.269,21.862,2.366,123,55.28
International Review of Sport and Exercise Psychology,"1,692",20.652,20.043,14.571,1.8,40,20
Nature Reviews Rheumatology,"12,069",20.543,20.138,23.657,11.491,55,18.18
FUNGAL DIVERSITY,"5,535",20.372,17.279,16.344,5.182,22,100
TRENDS IN COGNITIVE SCIENCES,"33,482",20.229,19.636,21.972,5.265,68,0
TRENDS IN COGNITIVE SCIENCES,"33,482",20.229,19.636,21.972,5.265,68,0
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"4,133",20.217,20.087,15.784,2.094,32,0
Advances in Optics and Photonics,"3,117",20.107,19.964,23.543,3.867,15,33.33
EUROPEAN UROLOGY,"42,109",20.096,19.023,21.259,13.542,144,87.5
Nature Physics,"44,499",20.034,19.68,22.85,6.716,225,97.78
ENDOCRINE REVIEWS,"17,084",19.871,19.71,24.715,9.03,33,0
Annual Review of Entomology,"16,059",19.686,19.588,20.265,13.652,23,0
INTERNATIONAL MATERIALS REVIEWS,"7,219",19.559,19.471,23,3.722,36,0
TRENDS IN BIOTECHNOLOGY,"20,693",19.536,19.205,19.599,6.057,87,0
APPLIED CATALYSIS B-ENVIRONMENTAL,"123,618",19.503,17.995,17.291,5.796,"1,058",99.24
Nature Sustainability,"4,664",19.346,18.81,19.346,4.3,160,91.25
Nature Sustainability,"4,664",19.346,18.81,19.346,4.3,160,91.25
Annual Review of Physiology,"11,515",19.318,19.318,23.992,6.783,23,0
Lancet Planetary Health,"2,540",19.173,18.8,21.98,6.976,42,85.71
Lancet Planetary Health,"2,540",19.173,18.8,21.98,6.976,42,85.71
Applied Physics Reviews,"5,353",19.162,18.906,19.201,3.8,85,37.65
DIABETES CARE,"86,001",19.112,18.209,17.067,7.171,392,97.7
ANNALS OF THE RHEUMATIC DISEASES,"58,006",19.103,17.412,17.075,14.644,180,90
Lancet Haematology,"5,140",18.959,18.608,16.564,15.362,69,63.77
ADVANCED FUNCTIONAL MATERIALS,"151,020",18.808,17.783,18.125,3.907,"2,281",85.36
Annual Review of Clinical Psychology,"8,484",18.561,18.366,24.102,4.222,18,100
Annual Review of Clinical Psychology,"8,484",18.561,18.366,24.102,4.222,18,100
Annual Review of Fluid Mechanics,"14,688",18.511,18.362,19.956,12.65,20,0
DRUG RESISTANCE UPDATES,"4,315",18.5,16.176,19.808,6.148,27,0
Lancet Gastroenterology & Hepatology,"7,075",18.486,18.13,18.814,34.875,72,65.28
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"9,303",18.464,18.321,20.027,3.167,18,61.11
