Journal,IF(2021)
CA-A CANCER JOURNAL FOR CLINICIANS,286.13
LANCET,202.731
NEW ENGLAND JOURNAL OF MEDICINE,176.079
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,157.335
NATURE REVIEWS MOLECULAR CELL BIOLOGY,113.915
NATURE REVIEWS DRUG DISCOVERY,112.288
NATURE REVIEWS IMMUNOLOGY,108.555
Lancet Respiratory Medicine,102.642
BMJ-British Medical Journal,93.333
NATURE MEDICINE,87.241
Lancet Microbe,86.208
World Psychiatry,79.683
NATURE REVIEWS MICROBIOLOGY,78.297
Lancet Psychiatry,77.056
Nature Reviews Materials,76.679
Nature Reviews Gastroenterology & Hepatology,73.082
Lancet Public Health,72.427
CHEMICAL REVIEWS,72.087
LANCET INFECTIOUS DISEASES,71.421
NATURE REVIEWS CANCER,69.8
NATURE,69.504
NATURE BIOTECHNOLOGY,68.164
Nature Energy,67.439
CELL,66.85
Nature Reviews Disease Primers,65.038
Nature Reviews Clinical Oncology,65.011
SCIENCE,63.714
CHEMICAL SOCIETY REVIEWS,60.615
LANCET NEUROLOGY,59.935
NATURE REVIEWS GENETICS,59.581
Psychological Science in the Public Interest,56.2
LANCET ONCOLOGY,54.433
ANNALS OF ONCOLOGY,51.769
ANNALS OF INTERNAL MEDICINE,51.598
JOURNAL OF CLINICAL ONCOLOGY,50.717
REVIEWS OF MODERN PHYSICS,50.485
CLINICAL MICROBIOLOGY REVIEWS,50.129
Nature Reviews Cardiology,49.421
PROGRESS IN MATERIALS SCIENCE,48.165
NATURE METHODS,47.99
NATURE MATERIALS,47.656
Nature Reviews Endocrinology,47.564
PHYSIOLOGICAL REVIEWS,46.5
CELL RESEARCH,46.297
Joule,46.048
Lancet Gastroenterology & Hepatology,45.042
Lancet Diabetes & Endocrinology,44.867
Nature Reviews Neurology,44.711
JAMA Internal Medicine,44.409
IMMUNITY,43.474
Living Reviews in Relativity,42.9
Nature Reviews Nephrology,42.439
INTENSIVE CARE MEDICINE,41.787
Molecular Cancer,41.444
NATURE GENETICS,41.307
Nature Catalysis,40.706
Nature Nanotechnology,40.523
CIRCULATION,39.918
Nature Photonics,39.728
Energy & Environmental Science,39.714
JOURNAL OF TRAVEL MEDICINE,39.194
Lancet Global Health,38.927
NATURE REVIEWS NEUROSCIENCE,38.755
JOURNAL OF INFECTION,38.637
CANCER CELL,38.585
Cancer Discovery,38.272
Signal Transduction and Targeted Therapy,38.104
Cell Discovery,38.079
Lancet Child & Adolescent Health,37.746
Journal of Public Transportation,37.667
Annual Review of Astronomy and Astrophysics,37.226
Nature Reviews Earth & Environment,37.214
Lancet Digital Health,36.615
MMWR Recommendations and Reports,36.286
Nature Reviews Physics,36.273
EUROPEAN HEART JOURNAL,35.855
ASTRONOMY AND ASTROPHYSICS REVIEW,35.786
Lancet Rheumatology,35.482
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,35.339
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,35.301
Military Medical Research,34.915
Nature Reviews Chemistry,34.571
GASTROENTEROLOGY,33.883
IEEE Communications Surveys and Tutorials,33.84
EUROPEAN RESPIRATORY JOURNAL,33.795
MATERIALS SCIENCE & ENGINEERING R-REPORTS,33.667
Nature Electronics,33.255
JAMA Oncology,33.006
Electrochemical Energy Reviews,32.804
Annual Review of Immunology,32.481
