Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,ONCOLOGY(SCIE),232.4,Q1,1/326
NATURE REVIEWS MICROBIOLOGY,1740-1526,1740-1534,MICROBIOLOGY(SCIE),103.3,Q1,1/163
NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE),101.8,Q1,1/352
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,1471-0080,CELL BIOLOGY(SCIE),90.2,Q1,1/204
Kidney International Supplements,2157-1724,2157-1716,UROLOGY & NEPHROLOGY(SCIE),89.6,Q1,1/133
LANCET,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL(SCIE)",88.5,Q1,1/332
Nature Reviews Materials,2058-8437,2058-8437,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",86.2,Q1,1/460
Nature Reviews Clinical Oncology,1759-4774,1759-4782,ONCOLOGY(SCIE),82.2,Q1,2/326
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL(SCIE)",78.5,Q1,2/332
Nature Reviews Earth & Environment,N/A,2662-138X,"ENVIRONMENTAL SCIENCES(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",71.5,Q1,1/374
NATURE REVIEWS CANCER,1474-175X,1474-1768,ONCOLOGY(SCIE),66.8,Q1,3/326
World Psychiatry,1723-8617,2051-5545,"PSYCHIATRY(SCIE, SSCI)",65.8,Q1,1/288
ANNALS OF ONCOLOGY,0923-7534,1569-8041,ONCOLOGY(SCIE),65.4,Q1,4/326
Living Reviews in Relativity,2367-3613,1433-8351,"PHYSICS, PARTICLES & FIELDS(SCIE)",62.5,Q1,45688
NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741,IMMUNOLOGY(SCIE),60.9,Q1,1/183
Nature Reviews Disease Primers,2056-676X,2056-676X,"MEDICINE, GENERAL & INTERNAL(SCIE)",60.6,Q1,3/332
MMWR Recommendations and Reports,1057-5987,1545-8601,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",60.1,Q1,1/419
Nature Energy,2058-7546,2058-7546,"ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",60.1,Q1,2/460
Nature Reviews Methods Primers,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES(SCIE),56,Q1,1/135
CHEMICAL REVIEWS,0009-2665,1520-6890,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",55.8,Q1,1/239
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL(SCIE)",55,Q1,4/332
Signal Transduction and Targeted Therapy,2095-9907,2059-3635,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE),52.7,Q1,1/319
NATURE REVIEWS GENETICS,1471-0056,1471-0064,GENETICS & HEREDITY(SCIE),52,Q1,1/191
Nature Reviews Chemistry,N/A,2397-3358,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",51.7,Q1,2/239
Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,GASTROENTEROLOGY & HEPATOLOGY(SCIE),51,Q1,1/147
NATURE MEDICINE,1078-8956,1546-170X,"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",50,Q1,1/195
MMWR Surveillance Summaries,1545-8636,1545-8636,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",49.8,Q1,2/419
NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES(SCIE),48.5,Q1,2/135
IEEE Communications Surveys and Tutorials,N/A,1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",46.7,Q1,1/258
SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES(SCIE),45.8,Q1,3/135
LANCET NEUROLOGY,1474-4422,1474-4465,CLINICAL NEUROLOGY(SCIE),45.5,Q1,1/285
REVIEWS OF MODERN PHYSICS,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY(SCIE)",44.8,Q1,1/114
Nature Catalysis,2520-1158,2520-1158,"CHEMISTRY, PHYSICAL(SCIE)",44.6,Q1,1/185
CANCER CELL,1535-6108,1878-3686,CELL BIOLOGY(SCIE);ONCOLOGY(SCIE),44.5,Q1,5/326
Nature Reviews Cardiology,1759-5002,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),44.2,Q1,1/230
BMJ-British Medical Journal,0959-535X,1756-1833,"MEDICINE, GENERAL & INTERNAL(SCIE)",42.7,Q1,5/332
CELL,0092-8674,1097-4172,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE),42.5,Q1,3/319
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,1527-7755,ONCOLOGY(SCIE),41.9,Q1,6/326
Lancet Diabetes & Endocrinology,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM(SCIE),41.8,Q1,1/191
NATURE BIOTECHNOLOGY,1087-0156,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE),41.7,Q1,2/177
Nature Electronics,2520-1131,2520-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",40.9,Q1,1/366
Journal of Hematology & Oncology,N/A,1756-8722,HEMATOLOGY(SCIE);ONCOLOGY(SCIE),40.4,Q1,1/98
Nature Reviews Endocrinology,1759-5029,1759-5037,ENDOCRINOLOGY & METABOLISM(SCIE),40,Q1,2/191
PROGRESS IN MATERIALS SCIENCE,0079-6425,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",40,Q1,3/460
Nature Reviews Nephrology,1759-5061,1759-507X,UROLOGY & NEPHROLOGY(SCIE),39.8,Q1,2/133
Nature Reviews Physics,N/A,2522-5820,"PHYSICS, APPLIED(SCIE);PHYSICS, MULTIDISCIPLINARY(SCIE)",39.5,Q1,1/187
CHEMICAL SOCIETY REVIEWS,0306-0012,1460-4744,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",39,Q1,3/239
CIRCULATION,0009-7322,1524-4539,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE),38.6,Q1,1/98
Lancet Gastroenterology & Hepatology,N/A,2468-1253,GASTROENTEROLOGY & HEPATOLOGY(SCIE),38.6,Q1,2/147
NATURE MATERIALS,1476-1122,1476-4660,"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",38.5,Q1,1/79
Nature Reviews Bioengineering,N/A,2731-6092,"ENGINEERING, BIOMEDICAL(ESCI);MATERIALS SCIENCE, BIOMATERIALS(ESCI)",37.6,Q1,1/124
REVIEWS OF GEOPHYSICS,8755-1209,1944-9208,GEOCHEMISTRY & GEOPHYSICS(SCIE),37.3,Q1,1/100
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X,"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);ENGINEERING, MECHANICAL(SCIE);THERMODYNAMICS(SCIE)",37,Q1,1/175
eScience,2097-2431,2667-1417,"ELECTROCHEMISTRY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",36.6,Q1,5/460
Nano-Micro Letters,2311-6706,2150-5551,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)",36.3,Q1,2/147
Electrochemical Energy Reviews,2520-8489,2520-8136,ELECTROCHEMISTRY(SCIE),36.3,Q1,2/44
LANCET ONCOLOGY,1470-2045,1474-5488,ONCOLOGY(SCIE),35.9,Q1,8/326
EUROPEAN HEART JOURNAL,0195-668X,1522-9645,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),35.6,Q1,3/230
Joule,2542-4351,2542-4351,"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",35.4,Q1,3/185
Nature Nanotechnology,1748-3387,1748-3395,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",34.9,Q1,8/460
Annual Review of Pathology-Mechanisms of Disease,1553-4006,1553-4014,PATHOLOGY(SCIE),34.5,Q1,1/90
Molecular Cancer,N/A,1476-4598,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ONCOLOGY(SCIE),33.9,Q1,4/319
Cancer Discovery,2159-8274,2159-8290,ONCOLOGY(SCIE),33.3,Q1,10/326
Annual Review of Immunology,0732-0582,1545-3278,IMMUNOLOGY(SCIE),33.3,Q1,2/183
iMeta,2770-5986,2770-596X,MICROBIOLOGY(SCIE),33.2,Q1,2/163
Nature Reviews Neurology,1759-4758,1759-4766,CLINICAL NEUROLOGY(SCIE),33.1,Q1,2/285
JOURNAL OF HEPATOLOGY,0168-8278,1600-0641,GASTROENTEROLOGY & HEPATOLOGY(SCIE),33,Q1,3/147
Nature Photonics,1749-4885,1749-4893,"OPTICS(SCIE);PHYSICS, APPLIED(SCIE)",32.9,Q1,1/125
Lancet Respiratory Medicine,2213-2600,N/A,CRITICAL CARE MEDICINE(SCIE);RESPIRATORY SYSTEM(SCIE),32.8,Q1,1/108
Nature Reviews Rheumatology,1759-4790,1759-4804,RHEUMATOLOGY(SCIE),32.7,Q1,1/58
Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282,ASTRONOMY & ASTROPHYSICS(SCIE),32.5,Q1,1/84
NATURE METHODS,1548-7091,1548-7105,BIOCHEMICAL RESEARCH METHODS(SCIE),32.1,Q1,1/86
eLight,2097-1710,2662-8643,OPTICS(SCIE),32.1,Q1,2/125
