Journal,ISSN,EISSN,Web of Science,IF(2025),Category_1,IF Quartile(2025)_1,IF Rank(2025)_1,Category_2,IF Quartile(2025)_2,IF Rank(2025)_2,Category_3,IF Quartile(2025)_3,IF Rank(2025)_3,Category_4,IF Quartile(2025)_4,IF Rank(2025)_4,Category_5,IF Quartile(2025)_5,IF Rank(2025)_5,Category_6,IF Quartile(2025)_6,IF Rank(2025)_6
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,SCIE,685.2,ONCOLOGY,Q1,1/333,,,,,,,,,,,,,,,
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,1471-0080,SCIE,118,CELL BIOLOGY,Q1,1/207,,,,,,,,,,,,,,,
LANCET,0140-6736,1474-547X,SCIE,109,"MEDICINE, GENERAL & INTERNAL",Q1,1/336,,,,,,,,,,,,,,,
NATURE REVIEWS MICROBIOLOGY,1740-1526,1740-1534,SCIE,104.6,MICROBIOLOGY,Q1,1/167,,,,,,,,,,,,,,,
MMWR Surveillance Summaries,1545-8636,1545-8636,SCIE,96.9,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,1/443,,,,,,,,,,,,,,,
Nature Reviews Clinical Oncology,1759-4774,1759-4782,SCIE,94.6,ONCOLOGY,Q1,2/333,,,,,,,,,,,,,,,
NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784,SCIE,91.2,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Q1,1/180,PHARMACOLOGY & PHARMACY,Q1,1/356,,,,,,,,,,,,
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,SCIE,84.5,"MEDICINE, GENERAL & INTERNAL",Q1,2/336,,,,,,,,,,,,,,,
Nature Reviews Materials,2058-8437,2058-8437,SCIE,83.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,1/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,1/148,,,,,,,,,,,,
Signal Transduction and Targeted Therapy,2095-9907,2059-3635,SCIE,81.2,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q1,1/328,CELL BIOLOGY,Q1,2/207,,,,,,,,,,,,
ANNALS OF ONCOLOGY,0923-7534,1569-8041,SCIE,80.4,ONCOLOGY,Q1,3/333,,,,,,,,,,,,,,,
Nature Reviews Disease Primers,2056-676X,2056-676X,SCIE,79.8,"MEDICINE, GENERAL & INTERNAL",Q1,3/336,,,,,,,,,,,,,,,
World Psychiatry,1723-8617,2051-5545,"SCIE, SSCI",79.5,PSYCHIATRY,Q1,1/293,,,,,,,,,,,,,,,
Nature Reviews Earth & Environment,N/A,2662-138X,SCIE,74.1,ENVIRONMENTAL SCIENCES,Q1,1/395,"GEOSCIENCES, MULTIDISCIPLINARY",Q1,1/259,METEOROLOGY & ATMOSPHERIC SCIENCES,Q1,1/114,,,,,,,,,
Nature Energy,2058-7546,2058-7546,SCIE,70.1,ENERGY & FUELS,Q1,1/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,2/472,,,,,,,,,,,,
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,SCIE,65.4,"MEDICINE, GENERAL & INTERNAL",Q1,4/336,,,,,,,,,,,,,,,
Living Reviews in Relativity,2367-3613,1433-8351,SCIE,64.6,"PHYSICS, PARTICLES & FIELDS",Q1,1/31,,,,,,,,,,,,,,,
CHEMICAL REVIEWS,0009-2665,1520-6890,SCIE,64.2,"CHEMISTRY, MULTIDISCIPLINARY",Q1,1/250,,,,,,,,,,,,,,,
NATURE REVIEWS CANCER,1474-175X,1474-1768,SCIE,60.7,ONCOLOGY,Q1,4/333,,,,,,,,,,,,,,,
Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,SCIE,57.5,GASTROENTEROLOGY & HEPATOLOGY,Q1,1/153,,,,,,,,,,,,,,,
NATURE,0028-0836,1476-4687,SCIE,56.1,MULTIDISCIPLINARY SCIENCES,Q1,1/140,,,,,,,,,,,,,,,
CANCER CELL,1535-6108,1878-3686,SCIE,56.1,CELL BIOLOGY,Q1,3/207,ONCOLOGY,Q1,5/333,,,,,,,,,,,,
